No.,正誤,分野名,大分類,中分類,出典,学習日
30,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/27_aki/q15.html"",""平成27年秋期 問15"")",2026/8/23
31,×,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/30_aki/q26.html"",""平成30年秋期 問26"")",2026/8/23
32,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/31_haru/q12.html"",""平成31年春期 問12"")",2026/8/23
33,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/25_haru/q19.html"",""平成25年春期 問19"")",2026/8/23
34,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/28_haru/q16.html"",""平成28年春期 問16"")",2026/8/23
35,○,テクノロジ系,開発技術,システム開発技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/30_aki/q46.html"",""平成30年秋期 問46"")",2026/8/23
36,×,テクノロジ系,開発技術,システム開発技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/19_aki/q42.html"",""平成19年秋期 問42"")",2026/8/23
37,○,テクノロジ系,開発技術,システム開発技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q46.html"",""令和4年秋期 問46"")",2026/8/23
38,○,テクノロジ系,開発技術,システム開発技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/19_haru/q49.html"",""平成19年春期 問49"")",2026/8/23
39,×,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/17_haru/q26.html"",""平成17年春期 問26"")",2026/8/23
40,○,テクノロジ系,開発技術,ソフトウェア開発管理技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/24_aki/q48.html"",""平成24年秋期 問48"")",2026/8/23
41,-,テクノロジ系,開発技術,ソフトウェア開発管理技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q50.html"",""令和4年秋期 問50"")",2026/8/23
42,×,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/17_haru/q62.html"",""平成17年春期 問62"")",2026/8/23
43,○,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/06_aki/q24.html"",""令和6年秋期 問24"")",2026/8/23
44,×,テクノロジ系,技術要素,情報メディア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/30_haru/q25.html"",""平成30年春期 問25"")",2026/8/23
45,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_haru/q37.html"",""令和4年春期 問37"")",2026/8/23
46,×,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/18_aki/q36.html"",""平成18年秋期 問36"")",2026/8/23
47,×,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_haru/q15.html"",""令和4年春期 問15"")",2026/8/23
48,×,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/30_haru/q19.html"",""平成30年春期 問19"")",2026/8/23
49,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/23_aki/q39.html"",""平成23年秋期 問39"")",2026/8/23
50,-,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/05_aki/q17.html"",""令和5年秋期 問17"")",2026/8/23
